"","name","electoral_college_percent","popular_vote_percent","popular_vote_margin_percent","popular_vote","popular_vote_margin","turnout_percent","avg_pres_name_prop","pres_num_name_change","pres_prop_name_change","pres_pop_prop_name_change"
"1","James",0.5799,0.4831,9e-04,4453337,1898,0.805,0.0333595969784173,-486,-0.0819976379281255,0.000189309999999998
"2","Chester",NA,NA,NA,NA,NA,NA,0.00121983302158273,26,0.0948905109489051,-7.20400000000002e-05
"3","Grover",0.5461,0.4885,0.0057,4914482,57579,0.782,0.000443421151079137,-34,-0.0423940149625935,8.95899999999996e-05
"4","Benjamin",0.581,0.478,0.0083,5443892,90596,0.805,0.0036516245323741,-21,-0.0268886043533931,0.0003728
"5","William",0.6063,0.5102,0.0431,7112138,601331,0.796,0.0322492847482014,-549,-0.0708661417322835,-0.000993170000000002
"6","Theodore",0.7059,0.5642,0.1883,7630557,2546677,0.655,0.00174482863309353,21,0.048951048951049,0.00124692
"7","William",0.6646,0.5157,0.0853,7678335,1269356,0.657,0.0322492847482014,386,0.0512752391073326,-0.0005036
"8","Woodrow",0.8192,0.4184,0.1444,6296284,2173563,0.59,0.000278482014388489,490,0.26587086272382,0.00026827
"9","Warren",0.7608,0.6032,0.2617,16144093,7004432,0.492,0.00115581863309353,2305,0.419701383831027,0.00186284
"10","Calvin",0.7194,0.5404,0.2522,15723789,7337547,0.489,0.00108409769784173,2506,1.03940273745334,0.00207667
"11","Herbert",0.8362,0.5821,0.1741,21427123,6411659,0.569,0.0022260081294964,-201,-0.024907063197026,3.32699999999993e-05
"12","Franklin",0.8889,0.5741,0.1776,22821277,7060023,0.569,0.000855890287769784,2608,0.946986201888163,0.00269326
"13","Harry",0.5706,0.4955,0.0448,24179347,2188055,0.522,0.00573038798561151,373,0.0659709939865582,-0.0004709
"14","Dwight",0.8324,0.5518,0.1085,34075529,6700439,0.623,0.000388657841726619,291,0.120947630922693,0.00012893
"15","John",0.5642,0.4972,0.0017,34220984,112827,0.638,0.0384680794964029,3827,0.0502917367535744,0.00193382
"16","Lyndon",0.9033,0.6105,0.2258,43127041,15951287,0.628,3.77021582733813e-05,338,1.92045454545455,0.00016832
"17","Richard",0.5595,0.4342,0.007,31783783,511944,0.625,0.0132527970503597,-1877,-0.0568994785982782,-0.00157286
"18","Gerald",NA,NA,NA,NA,NA,NA,0.00237006352517986,-173,-0.066769587032034,-0.00012236
"19","Jimmy",0.552,0.5008,0.0206,40831881,1683247,0.548,0.00127455985611511,140,0.056044835868695,1.333e-05
"20","Ronald",0.9089,0.5075,0.0974,43903230,8423115,0.542,0.00480024035971223,-227,-0.0394097222222222,-0.00013421
"21","George",0.7918,0.5337,0.0772,48886597,7077121,0.528,0.0151720208633094,217,0.0505356311131812,7.18000000000029e-06
"22","William",0.6877,0.4301,0.0556,44909806,5805256,0.581,0.0322492847482014,-858,-0.0371976068672505,-0.00023634
"23","George",0.5037,0.4787,0.0051,50460110,543816,0.542,0.0151720208633094,48,0.0158050707935463,3.72700000000001e-05
"24","Barack",0.6784,0.5293,0.0727,69498516,9550193,0.616,8.5136690647482e-07,19,0.365384615384615,9.64e-06
"25","Donald",0.565,0.4609,0.0209,62984828,2868686,0.602,0.00746504352517986,-67,-0.0969609261939219,-2.975e-05
