"","year","name","norm_prop"
"1",-10,"William1",1
"2",-9,"William1",0.958927768560435
"3",-8,"William1",0.903628296659985
"4",-7,"William1",0.832032478414317
"5",-6,"William1",0.71994874990303
"6",-5,"William1",0.690311446105235
"7",-4,"William1",0.577888219067472
"8",-3,"William1",0.597662548474467
"9",-2,"William1",0.537932078606838
"10",-1,"William1",0.505353566444533
"11",0,"William1",0.612145038441744
"12",1,"William1",0.570722464542424
"13",2,"William1",0.445116768307687
"14",3,"William1",0.312345317547903
"15",4,"William1",0.315693590484699
"16",5,"William1",0.270044802127413
"17",6,"William1",0.187430296448111
"18",7,"William1",0.144101275663628
"19",8,"William1",0.0407948769922599
"20",9,"William1",0
"21",10,"William1",0.00990885257005394
"22",-10,"Theodore",0
"23",-9,"Theodore",0.104368045250134
"24",-8,"Theodore",0.0520633646217202
"25",-7,"Theodore",0.0314387395636465
"26",-6,"Theodore",0.0772121009828553
"27",-5,"Theodore",0.0124311572793988
"28",-4,"Theodore",0.0631255610033333
"29",-3,"Theodore",0.0396570155299254
"30",-2,"Theodore",0.121745053021863
"31",-1,"Theodore",0.135394066783641
"32",0,"Theodore",0.23876527395005
"33",1,"Theodore",0.519981867470151
"34",2,"Theodore",0.73271433146445
"35",3,"Theodore",0.798212457318641
"36",4,"Theodore",1
"37",5,"Theodore",0.955158073260833
"38",6,"Theodore",0.719015701327464
"39",7,"Theodore",0.654566285221988
"40",8,"Theodore",0.513673821949382
"41",9,"Theodore",0.400724399078037
"42",10,"Theodore",0.3904628305691
"43",-10,"William2",1
"44",-9,"William2",0.765986350551477
"45",-8,"William2",0.77188778165587
"46",-7,"William2",0.69143042809634
"47",-6,"William2",0.545819893144989
"48",-5,"William2",0.469451199251956
"49",-4,"William2",0.287370584585709
"50",-3,"William2",0.215468394851906
"51",-2,"William2",0.232933043603549
"52",-1,"William2",0.0824399344873517
"53",0,"William2",0.208483417478469
"54",1,"William2",0.171463478462864
"55",2,"William2",0
"56",3,"William2",0.108019418560545
"57",4,"William2",0.077891098454219
"58",5,"William2",0.108866260692117
"59",6,"William2",0.0829581842293296
"60",7,"William2",0.100193479903672
"61",8,"William2",0.100394898952327
"62",9,"William2",0.132960830610991
"63",10,"William2",0.0569618950445037
"64",-10,"Woodrow",0
"65",-9,"Woodrow",0.00253422831240798
"66",-8,"Woodrow",0.00734995768557484
"67",-7,"Woodrow",0.0149595984187157
"68",-6,"Woodrow",0.0227315410565854
"69",-5,"Woodrow",0.041305834753475
"70",-4,"Woodrow",0.107487914304594
"71",-3,"Woodrow",0.937798954312014
"72",-2,"Woodrow",1
"73",-1,"Woodrow",0.596939449796543
"74",0,"Woodrow",0.508712134385977
"75",1,"Woodrow",0.661289836422866
"76",2,"Woodrow",0.578093880058892
"77",3,"Woodrow",0.733715902108765
"78",4,"Woodrow",0.404138698570584
"79",5,"Woodrow",0.154291146431097
"80",6,"Woodrow",0.130636803116197
"81",7,"Woodrow",0.119637371172863
"82",8,"Woodrow",0
"83",9,"Woodrow",0.00253422831240798
"84",10,"Woodrow",0.00734995768557484
"85",-10,"Warren",0
"86",-9,"Warren",0.0240126749973146
"87",-8,"Warren",0.0497386229367324
"88",-7,"Warren",0.0397543771706828
"89",-6,"Warren",0.0442425435926814
"90",-5,"Warren",0.0619159296788285
"91",-4,"Warren",0.0737047513337391
"92",-3,"Warren",0.0986143435139103
"93",-2,"Warren",0.113067062909521
"94",-1,"Warren",0.157723155143399
"95",0,"Warren",0.666504350316875
"96",1,"Warren",1
"97",2,"Warren",0.486732428658384
"98",3,"Warren",0.535563392889112
"99",4,"Warren",0.322027283468796
"100",5,"Warren",0.231073436213255
"101",6,"Warren",0.195624619571055
"102",7,"Warren",0.166878513373196
"103",8,"Warren",0.14404740592216
"104",9,"Warren",0.102286154176662
"105",10,"Warren",0.0921085609939489
"106",-10,"Calvin",0.0126690075944051
"107",-9,"Calvin",0
"108",-8,"Calvin",0.00312350532541619
"109",-7,"Calvin",0.0153375485586962
"110",-6,"Calvin",0.0120157254348409
"111",-5,"Calvin",0.0164341293265361
"112",-4,"Calvin",0.0126398432122817
"113",-3,"Calvin",0.0645320283244479
"114",-2,"Calvin",0.10014173889712
"115",-1,"Calvin",0.105895871490067
"116",0,"Calvin",0.394352025757982
"117",1,"Calvin",1
"118",2,"Calvin",0.862495771164592
"119",3,"Calvin",0.540981789759802
"120",4,"Calvin",0.449356050442715
"121",5,"Calvin",0.316955588478902
"122",6,"Calvin",0.211281366292974
"123",7,"Calvin",0.191435004258
"124",8,"Calvin",0.166292390429416
"125",9,"Calvin",0.168094749244642
"126",10,"Calvin",0.199393964139476
"127",-10,"Herbert",0.502532290920361
"128",-9,"Herbert",0.501431783114617
"129",-8,"Herbert",0.475403650541607
"130",-7,"Herbert",0.434143591563372
"131",-6,"Herbert",0.411416982407597
"132",-5,"Herbert",0.41029176932458
"133",-4,"Herbert",0.388088462860108
"134",-3,"Herbert",0.36432872392751
"135",-2,"Herbert",0.372443284544154
"136",-1,"Herbert",0.374671251367213
"137",0,"Herbert",0.992527776592424
"138",1,"Herbert",1
"139",2,"Herbert",0.531992211099857
"140",3,"Herbert",0.409474249240313
"141",4,"Herbert",0.317460567008573
"142",5,"Herbert",0.215007782162341
"143",6,"Herbert",0.166008233595134
"144",7,"Herbert",0.126955928031281
"145",8,"Herbert",0.0616958151506235
"146",9,"Herbert",0.0282583453303657
"147",10,"Herbert",0
"148",-10,"Franklin",0.0506002533499134
"149",-9,"Franklin",0.0372005996722721
"150",-8,"Franklin",0.033432891326833
"151",-7,"Franklin",0.0395597754715446
"152",-6,"Franklin",0.0218415517101119
"153",-5,"Franklin",0.0148128348460725
"154",-4,"Franklin",0.0034190616755959
"155",-3,"Franklin",0.000185944890583058
"156",-2,"Franklin",0
"157",-1,"Franklin",0.0150220228479784
"158",0,"Franklin",0.374002579985357
"159",1,"Franklin",1
"160",2,"Franklin",0.687965879112578
"161",3,"Franklin",0.3452183109231
"162",4,"Franklin",0.420293560496008
"163",5,"Franklin",0.312529199158599
"164",6,"Franklin",0.191344265343359
"165",7,"Franklin",0.158848071402838
"166",8,"Franklin",0.246727951003521
"167",9,"Franklin",0.186639859611608
"168",10,"Franklin",0.168377747045219
"169",-10,"Harry",1
"170",-9,"Harry",0.912682540175058
"171",-8,"Harry",0.837373170367069
"172",-7,"Harry",0.771064931694644
"173",-6,"Harry",0.708970948715272
"174",-5,"Harry",0.600810694167459
"175",-4,"Harry",0.483677516353512
"176",-3,"Harry",0.388191057541233
"177",-2,"Harry",0.311355641997004
"178",-1,"Harry",0.244361952097396
"179",0,"Harry",0.223863293381588
"180",1,"Harry",0.197000939322052
"181",2,"Harry",0.132576986327646
"182",3,"Harry",0.0877659649489016
"183",4,"Harry",0.0515019280078758
"184",5,"Harry",0.00333699095373627
"185",6,"Harry",0.0279088660154411
"186",7,"Harry",0.0177963448242791
"187",8,"Harry",0
"188",9,"Harry",0.00303798753776335
"189",10,"Harry",0.0537895862187634
"190",-10,"Dwight",0.261524079685384
"191",-9,"Dwight",0.169965400898287
"192",-8,"Dwight",0.138482367352202
"193",-7,"Dwight",0.103668364386564
"194",-6,"Dwight",0.0484494874605119
"195",-5,"Dwight",0.0253476027765242
"196",-4,"Dwight",0.0377366600047279
"197",-3,"Dwight",0
"198",-2,"Dwight",0.0395203404035845
"199",-1,"Dwight",0.0854339930801797
